"No.","Time","Source","Destination","Protocol","Length","Info"
"169","25.931011691","10.0.2.4","45.33.32.156","TCP","58","51853  >  587 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"170","25.931111407","27.113.212.98","45.33.32.156","TCP","58","51853  >  587 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"171","25.931134107","123.34.139.79","45.33.32.156","TCP","58","51853  >  587 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"172","25.931233893","86.254.71.220","45.33.32.156","TCP","58","51853  >  139 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"173","25.931257096","10.0.2.4","45.33.32.156","TCP","58","51853  >  139 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"174","25.931355532","27.113.212.98","45.33.32.156","TCP","58","51853  >  139 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"175","25.931378346","123.34.139.79","45.33.32.156","TCP","58","51853  >  139 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"176","25.931477252","86.254.71.220","45.33.32.156","TCP","58","51853  >  111 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"177","25.931500758","10.0.2.4","45.33.32.156","TCP","58","51853  >  111 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"178","25.931701009","27.113.212.98","45.33.32.156","TCP","58","51853  >  111 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"179","25.931725275","123.34.139.79","45.33.32.156","TCP","58","51853  >  111 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"180","25.931747157","86.254.71.220","45.33.32.156","TCP","58","51853  >  113 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"181","25.931769265","10.0.2.4","45.33.32.156","TCP","58","51853  >  113 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"182","25.931963611","27.113.212.98","45.33.32.156","TCP","58","51853  >  113 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"183","25.931987022","123.34.139.79","45.33.32.156","TCP","58","51853  >  113 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"184","26.447549401","86.254.71.220","45.33.32.156","TCP","54","51864  >  80 [ACK] Seq=1 Ack=1 Win=1024 Len=0"
"185","26.447589705","10.0.2.4","45.33.32.156","TCP","54","51864  >  80 [ACK] Seq=1 Ack=1 Win=1024 Len=0"
"186","26.447611996","27.113.212.98","45.33.32.156","TCP","54","51864  >  80 [ACK] Seq=1 Ack=1 Win=1024 Len=0"
"187","26.447820634","45.33.32.156","10.0.2.4","TCP","60","80  >  51864 [RST, ACK] Seq=1 Ack=1 Win=32768 Len=0"
"188","26.447879714","123.34.139.79","45.33.32.156","TCP","54","51864  >  80 [ACK] Seq=1 Ack=1 Win=1024 Len=0"
"189","26.447931164","86.254.71.220","45.33.32.156","TCP","58","51853  >  445 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"190","26.447955798","10.0.2.4","45.33.32.156","TCP","58","51853  >  445 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"191","26.448161290","27.113.212.98","45.33.32.156","TCP","58","51853  >  445 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
